2020-12-05 10:14:52.205845|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.2 (2020-11-18 11:37:32)
2020-12-05 10:14:52.206038|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.10.0-957.10.1.el7.x86_64 #1 SMP Mon Mar 18 15:06:45 UTC 2019 x86_64 Binary: 64bit
2020-12-05 10:14:52.206074|INFO    |ServerLibPriv |   |Using hardware aes
2020-12-05 10:14:52.206898|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2020-12-05 10:14:52.206936|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2020-12-05 10:14:52.207229|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2020-12-05 10:14:52.255268|INFO    |SQL           |   |database updated successfully to revision: 34
2020-12-05 10:14:52.271924|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-12-05 10:14:52.272169|INFO    |Accounting    |   |Licensing Information
2020-12-05 10:14:52.272202|INFO    |Accounting    |   |licensed to       : Anonymous
2020-12-05 10:14:52.272215|INFO    |Accounting    |   |type              : No License
2020-12-05 10:14:52.272237|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2020-12-05 10:14:52.272249|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2020-12-05 10:14:52.272259|INFO    |Accounting    |   |max virtualservers: 1
2020-12-05 10:14:52.272268|INFO    |Accounting    |   |max slots         : 32
2020-12-05 10:14:53.940906|INFO    |              |   |Puzzle precompute time: 1643
2020-12-05 10:14:53.941239|INFO    |FileManager   |   |listening on 95.179.182.212:30033
2020-12-05 10:14:53.943479|INFO    |Query         |   |Using a query thread pool size of 2
2020-12-05 10:14:54.044579|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-12-05 10:14:54.044862|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2020-12-05 10:14:54.044955|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2020-12-05 10:14:54.045052|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2020-12-05 10:14:54.045079|WARNING |ServerMain    |   |Warning - name 'query_ip_whitelist' from file /home/teamspeak/serverfiles/ts3server.ini is deprecated (but understood), please use the new name 'query_ip_allowlist' instead.
2020-12-05 10:14:54.045093|WARNING |ServerMain    |   |Warning - name 'query_ip_blacklist' from file /home/teamspeak/serverfiles/ts3server.ini is deprecated (but understood), please use the new name 'query_ip_denylist' instead.
2020-12-05 12:49:11.244097|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
